Dep,Flight,Carrier,Destination,Departure,Status
Arr,Flight,Carrier,Origin,Arrival,Status
Dep,AF 8362$^,Air France,(AMS) Amsterdam,11:05 PM,Scheduled
Dep,DL 9436$^,Delta Air Lines,(AMS) Amsterdam,11:05 PM,Scheduled
Dep,MF 9922$^,Xiamen Airlines,(AMS) Amsterdam,11:05 PM,Scheduled
Dep,AF 871,Air France,(CDG) Paris,11:50 PM,Scheduled
Dep,DL 8275$^,Delta Air Lines,(CDG) Paris,11:50 PM,Scheduled
Dep,KL 2149$^,KLM,(CDG) Paris,11:50 PM,Scheduled
Arr,Flight,Carrier,Origin,Arrival,Status
Arr,MN 455,Comair,(HLA) Lanseria,9:05 PM,Scheduled
Arr,BA 6407,British Airways,(JNB) Johannesburg,9:20 PM,Scheduled
Arr,QR 6342$^,Qatar Airways,(JNB) Johannesburg,9:20 PM,Scheduled
Arr,KL 597,KLM,(AMS) Amsterdam,9:20 PM,En Route
Arr,AF 8367$^,Air France,(AMS) Amsterdam,9:20 PM,En Route
Arr,DL 9599$^,Delta Air Lines,(AMS) Amsterdam,9:20 PM,En Route
Arr,MF 9921$^,Xiamen Airlines,(AMS) Amsterdam,9:20 PM,En Route
Arr,FA* 121,Safair,(JNB) Johannesburg,9:30 PM,Scheduled
Arr,SA 367,South African Airways,(JNB) Johannesburg,9:40 PM,Scheduled
Arr,B6 5207$^,JetBlue Airways,(JNB) Johannesburg,9:40 PM,Scheduled
Arr,UA 7235$^,United Airlines,(JNB) Johannesburg,9:40 PM,Scheduled
Arr,JE 361,Mango,(DUR) Durban,9:40 PM,Scheduled
Arr,JE 161,Mango,(JNB) Johannesburg,9:45 PM,Scheduled
